Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Охримович;Ліза;Міленаівна;Жіноча;1990-03-06;Фотограф;хутір Снігурівка;парк Глазунова 2-й, буд. 45 кв. 88, Токмак, 56756;+380 (38) 166-90-15;wradchenko@example.com
Жайворон;Тетяна;Даринаівна;Жіноча;1950-08-20;Фрілансер;місто Міусинськ;проспект Панченка, буд. 56 кв. 7, Іловайськ, 11908;432 76 98;sviatoslavdavydenko@example.com
Уманець;Михайлина;Оксанаівна;Жіноча;1947-10-24;Електрослюсар;селище Ізюм;парк Бернардацці, буд. 077 кв. 724, Сторожинець, 09525;104-03-22;utereshchenko@example.com
Власюк;Михайлина;Богданнаівна;Жіноча;1999-02-16;Співак;хутір Прилуки;проспект Водопровідний 1-й, буд. 23 кв. 5, Енергодар, 23933;019 571-62-85;bohdan25@example.net
Акуленко;Костянтин;Адамович;Чоловіча;1942-11-05;Стиліст;хутір Луганськ;сквер Махачкалинська, буд. 2 кв. 3, Борзна, 60324;+380 14 668-95-57;habelkovalerii@example.net
Вдовенко;Богуслава;Пріскаівна;Жіноча;1998-09-08;Фермер;село Семенівка;проспект Східчастий, буд. 203, Зборів, 75230;+380 60 917-85-61;avreliiiakymenko@example.org
Чміль;Ольга;Надіяівна;Жіноча;1949-05-17;Гінеколог;селище Боково-Хрустальне;набережна Шебелінський, буд. 2 кв. 383, Луцьк, 61139;010 183 74 60;anastasiia55@example.com
Ящук;Спас;Теодорович;Чоловіча;1958-05-01;Хореограф;село Баштанка;шосе Дзвінка, буд. 05, Вовчанськ, 52157;+380 (72) 702-38-07;olena16@example.com
Алексеєнко;Ольга;Михайлинаівна;Жіноча;1977-08-24;Бібліограф;місто Мирноград;набережна Чайковського, буд. 556 кв. 9, Алчевськ, 95087;005 695 80 46;ostapzhadan@example.com
Фесенко;Прохір;Симонович;Чоловіча;1988-06-06;Швачка;селище Липовець;парк Степова, буд. 038 кв. 3, Самбір, 93677;+380 46 542-23-94;demyd45@example.com
Луценко;Сніжана;Одаркаівна;Жіноча;1987-10-02;Піаніст;хутір Судак ;сквер Українська, буд. 0, Бахмут, 22529;+380 00 673-46-05;valenkopanteleimon@example.org
Джунь;Марта;Орисяівна;Жіноча;2007-03-07;Піаніст;село Красноград;провулок Павлодарська, буд. 07, Тульчин, 13282;+380 06 520-99-43;darahanorysia@example.com
Гузій;Світлана;Сніжанаівна;Жіноча;1991-06-19;Антрополог;місто Олевськ;узвіз Китобійна, буд. 2, Подільськ, 95044;507 14 17;cdzhun@example.org
Саченко;Герман;Кирилоович;Чоловіча;1960-05-27;М'ясник;хутір Городок;площа Колективний, буд. 15 кв. 19, Ічня, 73761;010 089-62-52;onysym48@example.org
Медведенко;Орхип;Сергійович;Чоловіча;1972-12-23;Електромонтажник;село Путивль;проспект Ювілейний 1-й, буд. 682 кв. 1, Ворожба, 62408;+380 (61) 328-14-21;lubenetstereza@example.com
Гаврилюк;Маруся;Ларисаівна;Жіноча;1948-11-16;Дипломат;хутір Баштанка;парк Сергія Ядова, буд. 36, Павлоград, 14044;124-75-48;qtelychenko@example.net
Терещенко;Вікторія;Іринаівна;Жіноча;1959-10-10;Кіноактор;місто Мена ;вулиця Костанді 2-й, буд. 42, Хирів, 79607;901 36 03;adamzasiadko@example.com
Батіг;Панас;Леопольдович;Чоловіча;1994-09-10;Паралегал;селище Дружківка;площа Маріїнська, буд. 550, Луцьк, 31035;003 418 23 25;ssaienko@example.com
Ткаченко;Демид;Тимофійович;Чоловіча;1964-02-27;Астрофізик;хутір Збараж;площа Трудових резервів, буд. 9 кв. 94, Таврійськ, 66933;510 64 43;rovsiienko@example.com
Оніщук;Пармен;Панасович;Чоловіча;1981-04-24;Пілот;селище Стрий;шосе Сабанський, буд. 32, Житомир, 53675;077 193-46-79;volodymyrromanenko@example.org
Фесенко;Олекса;Алевтинович;Чоловіча;1977-02-04;Доцент;селище Жмеринка;узвіз Коцебу міст, буд. 3 кв. 4, Гнівань, 14800;+380 56 865-60-33;kozakiosyp@example.org
Зубко;Давид;Демидович;Чоловіча;1961-05-13;Математик;село Харків;шосе Лінія 47-ма, буд. 00 кв. 4, Тячів, 89095;+380 58 746 81 85;klavdiiaiurchenko@example.com
Доценко;Роксолана;Галинаівна;Жіноча;1967-11-27;Реабілітолог;село Звенигородка;проспект Успенський, буд. 89 кв. 5, Зоринськ, 98530;+380 (73) 026-05-43;varvaraaleksiuk@example.net
Безбородько;Стефан;Едуардович;Чоловіча;1998-04-23;Бізнесмен;село Нове Давидково;шосе Лінія 40-ва, буд. 5, Сновськ, 45502;122-63-59;bohdannakovalenko@example.org
Журавель;Мирон;Єлисейович;Чоловіча;1968-09-15;Сантехнік;селище Ровеньки;провулок Бузковий 1-й, буд. 951, Зміїв, 57882;+380 (68) 625-95-17;shvedchenkosolomon@example.net
Ванченко;Мартин;Давидович;Чоловіча;1998-01-18;Хореограф;село Моспине;сквер 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 30, Сокаль, 80268;+380 24 044-89-28;cperepelytsia@example.com
Бгиденко;Устим;Варфоломійович;Чоловіча;1990-08-02;Візажист;село Вознесенськ;проспект 2-га Лінія Марії Демченко, буд. 207 кв. 12, Єнакієве, 89224;330 78 71;iakivbarabash@example.org
Щербак;Пантелеймон;Йосипович;Чоловіча;1958-05-19;Кінокритик;хутір Тульчин;шосе Щоглова, буд. 84, Гірське, 63797;568 65 88;darahanvasyl@example.com
Зінчук;Панас;Олексаович;Чоловіча;1998-08-08;Нотаріус;місто Бахмут;вулиця Фруктовий, буд. 02 кв. 95, Вовчанськ, 66736;608 77 47;haivoronskaiukhym@example.net
Данькевич;Данна;Іринаівна;Жіноча;1993-05-04;Соціолог;місто Кальміуське;парк Станційна 1-ша, буд. 9 кв. 425, Кропивницький, 98372;+380 27 032-71-88;onysymbabiichuk@example.com
Гаєвський;Назар;Богданович;Чоловіча;1939-10-06;Ріелтор;місто Шахтарськ;парк Амундсена, 3-й, буд. 69 кв. 1, Сколе, 31208;+380 33 226-85-55;kyrylorubets@example.com
Авдєєнко;Єфрем;Назарович;Чоловіча;1974-01-03;Музикант;селище Калинівка ;проспект Львівська, буд. 213 кв. 646, Світловодськ, 30265;039 394 57 16;andriiovycheduard@example.com
Гайдай;Іван;Спасович;Чоловіча;1974-07-05;Адвокат;село Хорол ;площа Новикова, буд. 4, Білгород-Дністровський, 93764;006 641 27 12;petrochaban@example.org
Ващенко-Захарченко;Іван;Лукʼянович;Чоловіча;1959-12-10;Медик;місто Городня;шосе Пісочний, буд. 14, Верхівцеве, 76323;031 505-73-40;milena36@example.com
Чуйко;Марʼяна;Соломіяівна;Жіноча;1943-01-03;Композитор;місто Звенигородка;вулиця Об'їзна дорога, буд. 53, Рубіжне, 15195;+380 09 126 61 23;khorishkoorkhyp@example.org
Андріїшин;Олесь;Євгенович;Чоловіча;1975-05-31;Ріелтор;місто Бунге ;проспект Золотий берег, буд. 18 кв. 030, Герца, 86470;+380 62 417-00-97;tsiupaarsen@example.net
Іванченко;Алла;Пріскаівна;Жіноча;1944-07-19;Журналіст;хутір Сімферополь;провулок 15-та ст. Великого Фонтану пляж, буд. 3 кв. 248, Камінь-Каширський, 71773;189-21-60;oruban@example.com
Бандура;Панас;Ростиславович;Чоловіча;2004-04-07;Круп'є;місто Сміла;парк Ширяївський, буд. 7 кв. 99, Новоукраїнка, 58857;+380 65 776-62-18;shakhraiserhii@example.org
Копитко;Лукʼян;Опанасович;Чоловіча;1946-05-20;Музичний редактор;місто Трускавець;вулиця Єнісейська, буд. 614, Новодружеськ, 60031;+380 81 228-40-76;frantshohol@example.org
Шило;Клавдія;Ярославаівна;Жіноча;1950-07-17;Провізор;селище Устилуг;узвіз Газова, буд. 074 кв. 53, Ходорів, 04415;+380 47 074 27 90;mzabashta@example.net
Юрчишин;Олесь;Максимович;Чоловіча;1978-06-30;Біолог;місто Ізмаїл;парк Водопровідний 2-й, буд. 1 кв. 0, Бровари, 61613;+380 93 006 70 59;liliiabandurka@example.net
Сацюк;Роман;Стефанович;Чоловіча;1992-07-17;Випробувач;місто Остер ;сквер Херсонський, буд. 8, Пустомити, 18067;+380 00 293-93-88;violettahavrysh@example.net
Бабенко;Захар;Бориславович;Чоловіча;1951-12-23;Реабілітолог;місто Світлодарськ;провулок Кар’єрна, буд. 8 кв. 3, Пустомити, 22177;+380 36 225-69-86;averkhola@example.net
Даньків;Зорян;Охрімович;Чоловіча;1996-12-19;Фрілансер;село Дніпро ;площа Дністровська, буд. 7, Тульчин, 70176;+380 19 168 79 77;varvara48@example.org
Чала;Надія;Людмилаівна;Жіноча;1971-06-07;Журналіст;місто Нова Каховка;шосе 10-та Суворовська, буд. 356, Скалат, 65621;033 834 81 21;oberemkozlatoslava@example.com
Шутько;Теодор;Панасович;Чоловіча;1947-11-14;Хореограф;хутір Долина ;узвіз Лядова, буд. 98 кв. 0, Камінь-Каширський, 52296;+380 59 466-59-16;leopold82@example.org
Жарко;Ірена;Надіяівна;Жіноча;1957-01-11;Соціолог;село Балаклія;набережна Райдужна, буд. 51, Пустомити, 43249;005 696-89-44;akulenkoedyta@example.net
Карпенко;Ярослава;Михайлинаівна;Жіноча;1982-05-08;Доцент;селище Підгородне;сквер Вернидуба, буд. 41, Теребовля, 88835;+380 35 071 45 88;bievtushok@example.com
Радченко;Феофан;Йосипович;Чоловіча;2003-04-24;Електромонтер;село Дебальцеве;шосе Молокова, буд. 0 кв. 8, Ходорів, 82788;+380 (00) 033-75-10;venhrynovychorysia@example.org
Масоха;Ада;Соломіяівна;Жіноча;1970-10-11;Фермер;селище Подільськ;провулок Хімічна, буд. 543 кв. 55, Моршин, 63524;046 567-80-76;terezaderehus@example.com
Хомик;Онисим;Соломонович;Чоловіча;1987-07-13;Модельєр;хутір Білозерське;сквер Дунаєвського 2-й, буд. 551 кв. 11, Джанкой, 88219;+380 84 972 01 33;iaremaanastasiia@example.com
Дзюба;Назар;Володимирович;Чоловіча;1990-04-14;Палеонтолог;місто Лисичанськ;площа Амундсена, 2-й, буд. 278, Вараш, 50405;892-53-69;alla72@example.org
Масляк;Василина;Анастасіяівна;Жіноча;1965-08-01;Гінеколог;хутір Феодосія;площа Лодочний, буд. 481, Хмільник, 87637;028 693 59 17;okhrim44@example.com
Остапчук;Марія;Адаівна;Жіноча;1968-09-11;Гірник;селище Балта;узвіз Дружний, буд. 86 кв. 9, Новогродівка, 81568;+380 94 505-97-42;tdutka@example.org
Чорновіл;Демʼян;Пилипович;Чоловіча;2006-07-13;Дантист;місто Рубіжне;набережна Пестеля, буд. 979 кв. 4, Моспине, 61114;+380 50 559 76 92;zasiadkoliliia@example.com
Петлюра;Гаврило;Геннадійович;Чоловіча;1949-04-13;Кухар;селище Полтава;проспект Проектований 4-й, буд. 2, Тальне, 86400;+380 (75) 858-21-41;okaras@example.com
Верхола;Єлисей;Йосипович;Чоловіча;1971-04-20;Публіцист;село Помічна;вулиця Єліна, буд. 1 кв. 3, Стебник, 94943;+380 63 551 87 16;azarpryimak@example.net
Радченко;Маруся;Ларисаівна;Жіноча;1946-03-04;Стропальник;селище Новояворівськ;провулок 14-та Суворовська, буд. 97, Верхньодніпровськ, 69957;+380 61 267-59-17;csachenko@example.org
Данилюк;Владислав;Михайлоович;Чоловіча;1981-11-05;Науковець;село Ужгород;набережна Білоруська, буд. 559 кв. 66, Кагарлик, 67584;060 031-37-04;iereskoalevtyn@example.org
Ґерета;Едита;Любовівна;Жіноча;1973-11-19;Акушер;село Гуляйполе;набережна Нафтовиків, буд. 088, Часів Яр, 71027;+380 49 426 71 22;drobakhakhrystyna@example.net
Хомик;Степан;Леонідович;Чоловіча;1987-03-28;Скульптор;село Джанкой;провулок Санітарна, буд. 8 кв. 3, Бершадь, 98088;+380 00 201-98-11;btytarenko@example.com
Рева;Едуард;Ростиславович;Чоловіча;1977-10-03;Живописець;місто Новодружеськ;шосе Нерубайська, буд. 22, Кропивницький, 40659;080 298-50-20;ytsiutsiura@example.com
Гречаник;Олесь;Васильович;Чоловіча;1991-10-24;Астронавт;місто Володимир-Волинський;набережна Пастера, буд. 615, Берислав, 28766;+380 (39) 368-13-28;erikapavlychenko@example.net
Балабан;Дмитро;Станіславович;Чоловіча;1969-04-16;Етнограф;місто Горлівка;сквер Казковий, буд. 25, Глиняни, 84304;339 87 82;danylokhudiak@example.com
Яковенко;Болеслав;Олегович;Чоловіча;1983-09-10;Євнух;хутір Мирноград;набережна Дальня, буд. 05, Березань , 73747;+380 (46) 344-81-22;iashchenkoodarka@example.com
Оніщук;Теодор;Аркадійович;Чоловіча;1977-11-13;Електромонтажник;селище Полтава;сквер Бузковий 1-й, буд. 476 кв. 4, Тульчин, 68404;821-36-09;khrystynaiurchyshyn@example.org
Пустовіт;Ростислав;Панасович;Чоловіча;1960-06-28;Бухгалтер;хутір Конотоп;площа Шишкіна 1-й, буд. 939 кв. 364, Кропивницький, 37468;039 108 78 22;vasylyna51@example.org
Шведченко;Макар;Геннадійович;Чоловіча;1946-06-14;Ґрунтознавець;село Батурин;узвіз Пересипська 1-ша, буд. 867, Бориспіль, 95239;+380 (70) 839-21-23;ybabii@example.org
Єфименко;Станіслав;Онисимович;Чоловіча;1960-05-26;Гірничий інженер;селище Турка;сквер Матроська Слобідка, буд. 087, Скалат, 48410;767-24-21;valentynacharnysh@example.net
Гайдай;Аарон;Устимович;Чоловіча;1990-11-13;Доцент;селище Скалат;вулиця Чорноморська, буд. 94 кв. 0, Мар'їнка, 85100;192-22-48;balabanamaliia@example.com
Юрчишин;Геннадій;Хомаович;Чоловіча;1987-04-22;Доцент;селище Гайворон;площа Івахненка Петра, буд. 4, Рава-Руська, 04071;+380 74 540-89-40;earsenych@example.org
Верховинець;Феофан;Ігорович;Чоловіча;1947-01-28;Перекладач;місто Кременець;сквер Чорноморський 3-й, буд. 453, Жидачів, 90134;098 520-31-32;kostiantyndubenko@example.net
Алексюк;Данило;Августинович;Чоловіча;1970-11-02;Диригент;місто Харків;узвіз Профспілкова, буд. 1 кв. 641, Хмельницький, 58586;051-17-32;zaichenkokyrylo@example.com
Москаль;Лукʼян;Несторович;Чоловіча;1974-05-28;Слідчий;селище Кременчук;набережна Каштанова, буд. 1, Белз, 86905;277-60-18;sviatoslava59@example.net
Дубенко;Марина;Альбінаівна;Жіноча;1976-11-17;Електрик;село Харків;сквер Гагаріна, буд. 89 кв. 32, Родинське, 30406;602 46 61;stefantytarenko@example.org
Жученко;Василина;Одаркаівна;Жіноча;2001-10-31;Головний меркшейдер;хутір Судова Вишня;шосе 19-й км Старокиївської дороги, буд. 415 кв. 51, Євпаторія, 54151;683 90 39;rostyslav52@example.com
Терещенко;Юхим;Валентинович;Чоловіча;1976-01-21;Краєзнавець;місто Ніжин;площа Спортивна, буд. 1 кв. 15, Монастирище, 48370;+380 55 794-60-62;khomykklavdiia@example.net
Тесленко;Олекса;Петроович;Чоловіча;2000-09-19;Бібліограф;хутір Сніжне;набережна Іспанський, буд. 228, Путивль, 96383;066 039-09-15;izinkevych@example.net
Левченко;Тарас;Юхимович;Чоловіча;2004-08-24;Піаніст;місто Залізне;набережна Тепла, буд. 4, Зеленодольськ, 89490;399-84-60;virahutsuliak@example.net
Баклан;Ада;Оринаівна;Жіноча;1946-05-16;Археолог;селище Волочиськ;шосе Високий, буд. 7, Балта, 34303;052 054-37-69;frants43@example.net
Демиденко;Охрім;Ігорович;Чоловіча;1952-07-06;Географ;хутір Вижниця;площа Педагогічна, буд. 208, Березівка, 56542;878-87-68;bdeineko@example.net
Бабиченко;Симон;Леонович;Чоловіча;2004-04-30;Драматург;хутір Сквира;сквер Краснослобідська, буд. 769, Ржищів, 58681;+380 35 896-24-16;baidakbohdan@example.org
Андріїшин;Віталій;Левкоович;Чоловіча;1988-05-08;Намотувальник;селище Алчевськ;набережна Інглезі, буд. 482, Балаклія, 15110;+380 57 037-91-90;iaroslava93@example.org
Авраменко;Олена;Даринаівна;Жіноча;1969-07-28;Кухар;хутір Кобеляки;парк Восьмого березня 9-й, буд. 638, Кропивницький, 74880;+380 (64) 753-38-56;danchukhalyna@example.net
Швайка;Лілія;Адаівна;Жіноча;1989-07-25;Музичний редактор;хутір Любомль;парк Університетський, буд. 654 кв. 629, Остер , 95194;+380 (60) 755-06-08;hrytsenkoerika@example.org
Деряжна;Мілена;Сніжанаівна;Жіноча;1983-12-25;Геофізик;хутір Верхньодніпровськ;провулок Усатівська, буд. 363 кв. 28, Нововолинськ, 41804;414-17-45;symon55@example.org
Василашко;Віталій;Аврелійович;Чоловіча;1991-04-15;Ювелір;хутір Добропілля;площа Тираспольська, буд. 59 кв. 79, Буча, 71111;009 824 32 67;klavdiiaiaremchuk@example.org
Щириця;Вікторія;Святославаівна;Жіноча;1991-04-19;Електромонтер;село Шпола;вулиця Пастера, буд. 934 кв. 12, Херсон, 40092;+380 92 856 35 92;shyianieva@example.net
Юрчук;Орхип;Станіславович;Чоловіча;1941-06-25;Графік;хутір Бунге ;вулиця Косовська, буд. 96 кв. 697, Синельникове, 19959;+380 (48) 447-74-25;sachenkoadam@example.org
Вдовиченко;Онисим;Веніяминович;Чоловіча;1960-08-16;Електромонтажник;хутір Моршин;парк Іванова 2-й, буд. 21, Сімферополь, 73615;+380 84 515-35-27;ppylypenko@example.org
Єрьоменко;Устим;Степанович;Чоловіча;1950-02-08;Адвокат;хутір Хоростків;набережна Митна, буд. 1 кв. 747, Ананьїв, 19416;+380 09 469-38-63;ivanychukorkhyp@example.net
Вахній;Тетяна;Валентинаівна;Жіноча;1960-09-18;Музикознавець;село Болехів;проспект Студентський 4-й, буд. 8, Апостолове, 52634;799-78-39;trokhym90@example.net
Андрієнко;Олег;Сергійович;Чоловіча;1954-12-14;Геофізик;місто Сватове;узвіз Лучиста, буд. 08, Кам'янка-Бузька, 24806;+380 (88) 076-00-61;emiliialupii@example.com
Дубенко;Ілля;Хомаович;Чоловіча;1995-08-14;Палеонтолог;хутір Ужгород;узвіз Астрономічний, буд. 226, Оріхів, 86165;004 156-81-56;fzhaivoron@example.org
Ляшко;Андрій;Сергійович;Чоловіча;1978-08-16;Євнух;село Бердянськ;узвіз Запорізька, буд. 2 кв. 6, Луганськ, 55851;+380 08 263-63-40;xkhomenko@example.org
Дзюба;Орхип;Антонович;Чоловіча;1951-07-12;Нотаріус;місто Путивль;вулиця Мічуріна, буд. 1, Вишгород, 71758;+380 18 394-60-37;mykolaivashchuk@example.org
Рак;Панас;Опанасович;Чоловіча;1947-04-06;Гірничий інженер;хутір Тростянець;шосе Чапаєва, буд. 1 кв. 0, Пирятин, 43337;+380 77 834-95-46;dan27@example.com
Жайворон;Йосип;Микитаович;Чоловіча;1948-06-07;Астроном;селище Знам'янка;сквер Сортувальна 1-ша, буд. 386 кв. 232, Червоносів, 50756;472 45 63;anzhelakabaliuk@example.com
Корсун;Варвара;Василинаівна;Жіноча;1952-11-17;Астрофізик;село Золочів;провулок Мічуріна, буд. 3 кв. 75, Івано-Франківськ, 82130;350 60 28;diarosh@example.com
Захарченко;Артем;Захарович;Чоловіча;1952-06-14;Стиліст;хутір Олександрівськ;набережна Літературна, буд. 6, Снятин, 08154;+380 (09) 610-97-74;isuprunenko@example.org
Корсун;Ірена;Анастасіяівна;Жіноча;1973-11-04;Сценарист;хутір Миронівка;набережна Тепла, буд. 791, Чортків, 49868;392-05-96;bkhmara@example.org
Терещенко;Микита;Пантелеймонович;Чоловіча;2003-06-26;Фрілансер;село Ірпінь;проспект Желябова, буд. 33 кв. 83, Миколаїв, 37512;085 870-19-69;mykhailyna34@example.com
Орлик;Марко;Богданович;Чоловіча;1962-09-26;Медик;хутір Ходорів;проспект Сімферопольська, буд. 9 кв. 19, Чорноморськ, 04781;023 039-59-13;omelian25@example.org
Назаренко;Богдан;Вʼячеславович;Чоловіча;1999-02-02;Промисловець;хутір Коростень;набережна Обільний 2-й, буд. 057 кв. 7, Алупка, 95686;058 663 77 79;ievhen18@example.org
Хомик;Варвара;Михайлинаівна;Жіноча;1953-08-04;Адвокат;хутір Лутугине;парк Будівельний, буд. 6, Миргород, 55814;+380 61 793-99-26;sheremetaliubov@example.org
Радченко;Златослава;Амаліяівна;Жіноча;1943-02-09;Паблік рилейшнз;хутір Донецьк;набережна Лиманна, буд. 368, Антрацит , 62315;+380 77 408 09 86;gvitruk@example.org
Макаренко;Прохір;Микитаович;Чоловіча;2003-08-13;Астроном;село Жданівка;вулиця Ризька, буд. 6 кв. 23, Арциз, 25899;036 284 99 67;vasylromanets@example.org
Ільченко;Альберт;Мирославович;Чоловіча;1959-05-28;Музикант;селище Міусинськ;вулиця Щукіна, буд. 439, Ровеньки, 10864;059 982-10-98;averchenkoamaliia@example.com
Гук;Лілія;Еміліяівна;Жіноча;2001-09-25;Промисловець;місто Бар;сквер Суднобудівний, буд. 2 кв. 7, Одеса, 01580;+380 (85) 126-65-39;boryslavpavlyk@example.com
Овсієнко;Захар;Венедиктович;Чоловіча;1969-12-28;Фармацевт;селище Старий Самбір;узвіз Чорноморка, буд. 18 кв. 3, Борислав, 62117;581 31 10;rostyslav63@example.org
Рудько;Вʼячеслав;Орхипович;Чоловіча;1959-04-19;Літературознавець;село Могилів-Подільський;провулок Лінійна, буд. 70 кв. 250, Моршин, 46312;+380 (86) 257-24-07;heorhii23@example.org
Ґоляш;Валерій;Андрійович;Чоловіча;1959-06-05;Історик;село Амвросіївка;сквер Шкільний, буд. 1, Енергодар, 82065;+380 53 138 77 30;sychpavlo@example.com
Вдовенко;Феофан;Бориславович;Чоловіча;2002-03-28;Палеонтолог;місто Соснівка ;узвіз Старицького, буд. 030 кв. 98, Заставна, 39660;+380 (31) 575-44-23;knazarenko@example.org
Саченко;Ада;Одаркаівна;Жіноча;1964-01-27;Драматург;хутір Іловайськ;набережна Єліна, буд. 85, Пустомити, 92349;+380 (36) 064-15-27;arkadiiilchenko@example.net
Охримович;Клавдія;Михайлинаівна;Жіноча;1963-11-26;Публіцист;село Калуш;площа Рульовий, буд. 101 кв. 8, Кременець, 09967;+380 66 338 38 80;adazabara@example.net
Чайка;Єва;Маринаівна;Жіноча;1958-08-31;Пекар;селище Дебальцеве;парк Гастелло, буд. 836 кв. 6, Теребовля, 11611;+380 (77) 351-43-55;solomon30@example.org
Короленко;Соломон;Борисович;Чоловіча;1972-12-03;Астроном;село Вашківці;парк Іспанський, буд. 242 кв. 01, Старокостянтинів, 63443;+380 42 546-50-34;ndanylchuk@example.net
Доценко;Маруся;Терезаівна;Жіноча;1964-02-16;Історик;місто Вишневе ;проспект Короткий, буд. 99, Рожище, 65487;663 46 81;ishchakeduard@example.org
Артимович;Артем;Владиславович;Чоловіча;1979-11-06;Візажист;селище Очаків;площа Першотравневий 2-й, буд. 15 кв. 6, Тернопіль, 20614;050 653-69-05;okhrimvlokh@example.org
Гунько;Костянтин;Русланович;Чоловіча;2005-12-29;Швачка;хутір Тетіїв;парк Онезька, буд. 60, Миргород, 64898;+380 62 760-02-73;mzubko@example.org
Вергун;Алла;Анастасіяівна;Жіноча;2001-10-23;Музикант;селище Звенигородка;набережна Сєченова, буд. 194 кв. 99, Міусинськ, 69531;+380 (48) 443-17-38;vitaliichupryna@example.com
Свистун;Богдан;Костянтинович;Чоловіча;1991-02-03;Фольклорист;селище Соледар;провулок Кленова, буд. 6 кв. 4, Славута, 70511;363 72 75;stanislavprotsenko@example.org
Дергач;Валентина;Амаліяівна;Жіноча;1997-01-16;Візажист;село Глухів;набережна Творча, буд. 8 кв. 6, Гребінка, 48090;+380 27 171 16 55;nataliia09@example.org
Жадан;Тимофій;Андрійович;Чоловіча;1949-12-09;Електротехнік;селище Тячів;шосе Геранієва, буд. 0 кв. 55, Белз, 57655;+380 12 774-65-15;jkhorishko@example.net
Свистун;Георгій;Артемович;Чоловіча;1952-11-25;Публіцист;селище Свалява;провулок Дачна, буд. 85, Міусинськ, 84802;+380 05 901-64-06;zmykhailiuk@example.org
Цушко;Марія;Оксеніяівна;Жіноча;1969-08-31;Музичний редактор;хутір Чернігів;сквер Проточний, буд. 4, Миронівка, 13618;+380 60 246-18-49;viacheslavshevchenko@example.net
Негода;Оксана;Анжелаівна;Жіноча;1954-09-22;Палеонтолог;хутір Дрогобич;парк Восьмого березня 5-й, буд. 769, Кальміуське, 27707;+380 (55) 413-28-75;hodunokkyrylo@example.net
Гунько;Світлана;Орисяівна;Жіноча;1961-02-07;Льотчик;місто Лубни;площа Дубова, буд. 56, Щастя , 42523;000 508-59-52;bashpolchenkoherman@example.com
Якименко;Марія;Альбінаівна;Жіноча;1957-07-10;Дантист;селище Хотин;вулиця Перша, буд. 84, Бахчисарай, 36686;073 598-17-42;tymofii60@example.com
Дерегус;Ростислав;Данович;Чоловіча;1964-11-27;Геофізик;місто Борислав;шосе Дача Ковалевського, буд. 9, Жовті Води, 16700;004 314 48 90;illiacherinko@example.com
Козак;Вʼячеслав;Зорянович;Чоловіча;1989-06-19;М'ясник;селище Могилів-Подільський;узвіз Марата 1-й, буд. 580, Фастів, 56624;226-97-07;udovenkoalina@example.com
Даниленко;Анжела;Альбінаівна;Жіноча;1996-08-19;Бібліотекар;місто Жидачів;площа Брестська, буд. 24 кв. 594, Кам'янець-Подільський, 15331;+380 58 060 30 96;khomenkoveniiamyn@example.net
Ткаченко;Віктор;Демʼянович;Чоловіча;1963-11-06;Актор;село Вараш;проспект Спартаківський, буд. 372, Березівка, 86005;+380 34 206-66-00;panteleimonbaida@example.net
Непорожній;Варвара;Даннаівна;Жіноча;1985-03-23;Випробувач;хутір Ворожба;провулок Олександра Матросова, буд. 237 кв. 338, Радехів, 50458;+380 87 840 94 63;vladyslav43@example.com
Ємельяненко;Владислав;Гаврилоович;Чоловіча;1978-06-26;Адвокат;село Сарни;вулиця Зої Космодем’янської, буд. 4 кв. 1, Березівка, 49587;+380 76 244-98-45;rkhorishko@example.org
Ребрик;Пріска;Іренаівна;Жіноча;1980-07-01;Хореограф;село Дружба ;провулок ПшеничнаРадищева, буд. 555, Іллінці, 43313;+380 (03) 403-94-55;vyshniakhryhorii@example.org
Вернидуб;Єлисей;Данилоович;Чоловіча;1994-10-23;Літературознавець;місто Ізмаїл;шосе Самарська, буд. 837, Стрий, 60371;541 37 77;fareniukstefan@example.com
Яковенко;Віра;Любовівна;Жіноча;1947-03-15;Доцент;село Ківерці;парк Онілової, буд. 705, Саки , 07593;609-20-64;lizahavriushenko@example.net
Атаманюк;Назар;Демʼянович;Чоловіча;1996-10-08;Промисловець;місто Старокостянтинів;набережна Пересипський 2-й, буд. 901, Кам'янка-Бузька, 30006;+380 71 472-92-17;nlavrenko@example.com
Мазур;Оксенія;Анжелаівна;Жіноча;1978-09-12;Кур'єр;селище Нововолинськ;шосе Офіцерський 2-й, буд. 005, Білгород-Дністровський, 40676;+380 55 953-68-53;barannykpanas@example.org
Іваненко;Олександр;Лесьович;Чоловіча;1947-07-01;Євнух;хутір Апостолове;шосе Штурвальна, буд. 05, Горішні Плавні, 61467;758-76-08;orynashcherbak@example.org
Франчук;Світлана;Валентинаівна;Жіноча;1983-04-19;Психолог;хутір Лисичанськ;набережна Головківська, буд. 078 кв. 064, Зміїв, 48870;076 44 98;siefymenko@example.com
Данчук;Лесь;Костянтинович;Чоловіча;1947-07-12;Палеонтолог;село Перещепине;провулок Західний 2-й, буд. 578, Шпола, 26165;+380 53 450 63 00;udakhno@example.net
Тичина;Володимира;Яринаівна;Жіноча;1946-02-11;Диригент;хутір Дунаївці;узвіз Єрмака, буд. 5 кв. 9, Сокаль, 10748;+380 44 309 70 37;bohuslava26@example.org
